Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Oregon,United States,165012,2383,119805.65741520238,42823.34258479762,4117.017653129603,1.6287263404585512
Orel Oblast,Russia,32432,501,29746.0,2185.0,4340.198087111759,1.5447705969412926
Orenburg Oblast,Russia,40013,733,36637.0,2643.0,2023.1883178609712,1.8319046309949267
Osaka,Japan,52201,1184,47254.0,3763.0,592.5627085636045,2.2681557824562746
Ostergotland,Sweden,28154,576,0.0,27578.0,6048.185265147853,2.045890459614975
Overijssel,Netherlands,85289,1073,0.0,84216.0,7337.281466200277,1.2580754845290718
P.A. Bolzano,Italy,68954,1126,67142.0,686.0,12953.535292813694,1.632972706441976
P.A. Trento,Italy,41231,1282,37086.0,2863.0,7615.372965065809,3.1093109553491307
Pahang,Malaysia,4269,17,3961.0,291.0,254.5465386679387,0.3982197235886625
Pais Vasco,Spain,162872,3944,16160.0,142768.0,7478.465296526898,2.4215334741392014
Para,Brazil,420372,10503,390166.0,16931.0,4853.301777954205,2.497107943753997
Paraiba,Brazil,259173,5744,183369.0,70060.0,6450.094782967288,2.216280245241596
Parana,Brazil,846105,16717,589955.0,239433.0,7399.931624720995,1.9757595097535177
Pennsylvania,United States,1034682,25069,743762.4851652209,265850.514834779,8222.638020201895,2.498811389584929
Penza Oblast,Russia,42019,530,38783.0,2706.0,3155.3968557922285,1.2613341583569335
Perak,Malaysia,12964,44,12563.0,357.0,515.610706757348,0.3394014193150262
Perlis,Malaysia,330,2,320.0,8.0,129.61508248232522,0.6060606060606061
Perm Krai,Russia,51249,1956,45575.0,3718.0,1953.7406190028523,3.816659837265117
Pernambuco,Brazil,349231,12175,293723.0,43333.0,3654.1634984191287,3.4862311764992224
Piaui,Brazil,206631,4141,201169.0,0.0,6263.085328331949,2.00190239262457
Piemonte,Italy,309280,10308,263913.0,35059.0,7099.430126576816,3.332902224521469
Poltava Oblast,Ukraine,55021,1153,46321.0,7547.0,3928.839456770341,2.0955635121135567
Primorsky Krai,Russia,42358,678,38697.0,2983.0,2214.1756798221886,1.6006421455215072
Prince Edward Island,Canada,159,0,145.0,14.0,96.7635925461605,0.0
Pskov Oblast,Russia,34266,244,23527.0,10495.0,5383.114496045848,0.712076110430164
